mp_id,formula,host_cation,final_energy_per_atom,formation_energy_per_atom,band_gap,icsd_label,icsd_num,predict_emit,wave
mp-9349,K1Rb2Sc1F6,Sc,-5.370891604,-3.560810604,6.3561,TRUE,[81683],1.99723,620.86132
mp-1113946,K1Na2Sb1F6,K,-4.301255612,-2.643123154,2.7248,FALSE,0,1.99758,620.75202
mp-1113729,Rb2Ag1Mo1F6,Mo,-4.70648444,-2.593070342,2.6738,FALSE,0,1.99763,620.73448
mp-1114394,Rb2Sc1In1F6,Sc,-5.270372614,-3.296163136,3.9341,FALSE,0,1.99763,620.73448
mp-1206735,Cs3Sb1F6,Cs,-4.355478801,-2.804270585,3.3907,FALSE,0,1.99789,620.6558
mp-554168,K1Rb2Mo1F6,Mo,-4.906494238,-2.965295845,3.7861,TRUE,[15773],1.99796,620.63174
mp-27312,Nb8Se4F56,Nb,-5.581172119,-2.993452878,4.8407,TRUE,[9897],1.99803,620.61247
mp-5476,Cs8Mg6F20,Mg,-4.768332719,-3.42261276,6.2813,TRUE,"[16084, 71587]",1.99812,620.58426
mp-1112179,K2Sc1In1F6,Sc,-5.269435064,-3.269252611,3.6274,FALSE,0,1.9983,620.52659
mp-759086,Li8V8F40,V,-5.4336532,-3.07076409,2.2276,FALSE,0,1.99869,620.40519
mp-1114480,Rb2Tl1Mo1F6,Mo,-4.796008215,-2.729585402,3.8485,FALSE,0,1.99907,620.28941
mp-1112548,K2Ti1Hg1F6,Ti,-4.959602604,-3.047918196,2.1811,FALSE,0,1.99921,620.24629
mp-753643,Li4V2F10,V,-5.449759124,-3.143615794,2.398,FALSE,0,1.99932,620.21191
mp-1111567,K2Sc1Tl1F6,Sc,-5.258615678,-3.297337283,4.7378,FALSE,0,1.99941,620.18438
mp-1114344,Rb2Ti1Hg1F6,Ti,-4.973768216,-3.088056783,2.3093,FALSE,0,1.99983,620.05236
mp-776825,Ba4Y12F44,Y,-6.791640066,-4.307463212,6.1382,FALSE,0,1.99985,620.04624
mp-8590,K4Hf2F12,Hf,-6.049186254,-3.729757304,6.7625,TRUE,[47243],2.00001,619.99549
